Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2022-11-11,15.2,20.5,3.2,5.4,2.1,NNE,39.0,00:17,18.8,83,7.0,SSW,13,1011.0,18.6,80,7,S,20,1010.3
2022-11-12,12.8,20.2,1.0,2.4,1.1,S,31.0,23:42,14.0,82,7.0,S,17,1014.3,18.7,66,7,SSW,11,1010.9
2022-11-13,13.7,24.8,5.4,2.8,3.5,N,48.0,09:12,20.2,79,2.0,NE,20,1002.0,23.0,68,7,NNE,31,998.9
2022-11-14,12.0,17.9,3.6,4.8,2.7,W,57.0,09:21,17.0,71,7.0,WNW,30,997.4,13.6,90,7,SSW,22,1003.7
2022-11-15,6.9,12.7,8.6,2.2,4.5,SSW,50.0,10:27,10.1,65,5.0,SW,28,1013.1,11.5,70,7,SW,13,1012.3
2022-11-16,4.7,13.5,5.0,3.2,3.6,SW,50.0,13:31,9.4,75,7.0,WSW,28,1015.2,12.0,75,7,SW,15,1015.9
2022-11-17,7.8,16.5,2.0,3.4,8.4,S,41.0,10:49,10.5,89,7.0,SSW,17,1019.4,15.2,60,5,S,26,1018.4
2022-11-18,4.4,23.5,0.8,3.4,12.4,NE,33.0,14:26,12.4,73,1.0,N,6,1016.5,22.3,45,2,NNE,19,1011.0
2022-11-19,12.2,20.0,0.0,7.4,2.5,NNE,102.0,15:48,17.7,61,8.0,NNE,26,1003.0,16.5,85,7,NNE,35,997.6
2022-11-20,10.2,19.7,22.2,7.8,9.0,WNW,72.0,16:58,14.1,68,5.0,W,24,998.3,18.5,43,5,WNW,30,997.3
2022-11-21,7.2,13.6,3.4,5.2,11.3,WSW,89.0,11:02,10.8,56,3.0,W,44,1001.7,10.5,68,5,SW,46,1005.0
2022-11-22,5.5,18.2,7.0,6.2,1.5,WSW,52.0,11:36,12.3,71,7.0,W,30,1013.1,16.9,65,7,W,28,1012.5
2022-11-23,10.3,17.6,0.4,2.1,2.2,W,41.0,09:40,13.7,62,7.0,WSW,20,1015.7,16.3,60,8,W,19,1017.0
2022-11-24,11.8,19.6,0.0,3.6,5.8,WSW,31.0,13:58,13.7,75,7.0,SW,15,1021.0,18.3,54,7,SW,20,1020.2
